# Gemma4-31B GEMM shapes captured via HIPBLASLT_LOG_MASK=32
# M, N, K, dtype, count
630,18,1,f32_r,192
1152,70,630,f32_r,96
1152,630,768,bf16_r,96
1152,630,1152,bf16_r,10368
1152,630,4304,bf16_r,2592
1152,630,10240,bf16_r,96
4304,630,1152,bf16_r,5184
5376,21,8192,bf16_r,150
5376,21,16384,bf16_r,30
5376,21,21504,bf16_r,180
5376,64,1152,bf16_r,96
5376,1024,8192,bf16_r,50
5376,1024,16384,bf16_r,10
5376,1024,21504,bf16_r,60
5376,8192,8192,bf16_r,50
5376,8192,16384,bf16_r,10
5376,8192,21504,bf16_r,60
16384,21,5376,bf16_r,150
16384,1024,5376,bf16_r,50
16384,8192,5376,bf16_r,50
20480,21,5376,bf16_r,30
20480,1024,5376,bf16_r,10
20480,8192,5376,bf16_r,10
43008,21,5376,bf16_r,180
43008,1024,5376,bf16_r,60
43008,8192,5376,bf16_r,60
262144,1024,5376,bf16_r,2
